,ID,lat,lon,state,time,hour
0,299,30.618983,104.067251,0,2014-08-03 07:00:02,7
1,313,30.681284,104.006696,1,2014-08-03 07:00:02,7
2,304,30.640176,104.026482,1,2014-08-03 07:00:02,7
3,302,30.676589,104.107862,1,2014-08-03 07:00:04,7
4,300,30.663196000000006,104.110707,0,2014-08-03 07:00:05,7
5,298,30.636739,104.032905,1,2014-08-03 07:00:05,7
6,305,30.610975,103.958336,0,2014-08-03 07:00:06,7
7,295,30.676393,104.090466,0,2014-08-03 07:00:07,7
8,312,30.634571,104.009166,1,2014-08-03 07:00:07,7
9,296,30.6462,104.066492,1,2014-08-03 07:00:08,7
10,317,30.62426,104.081612,0,2014-08-03 07:00:08,7
11,306,30.747122,104.203682,1,2014-08-03 07:00:09,7
12,304,30.639305,104.027441,1,2014-08-03 07:00:12,7
13,299,30.618981,104.067243,0,2014-08-03 07:00:12,7
14,308,30.642971000000006,104.039043,0,2014-08-03 07:00:13,7
15,313,30.680645,104.007983,1,2014-08-03 07:00:13,7
16,314,30.668052000000007,104.11051,0,2014-08-03 07:00:14,7
17,310,30.624891,104.063537,0,2014-08-03 07:00:15,7
18,300,30.663193,104.110705,0,2014-08-03 07:00:15,7
19,298,30.637489,104.033866,1,2014-08-03 07:00:15,7
20,302,30.678464,104.106811,1,2014-08-03 07:00:15,7
21,295,30.676391,104.090465,0,2014-08-03 07:00:17,7
22,297,30.607815,104.136689,1,2014-08-03 07:00:18,7
23,296,30.646191,104.066479,1,2014-08-03 07:00:18,7
24,316,30.526946,104.064787,0,2014-08-03 07:00:19,7
25,299,30.61898,104.067233,0,2014-08-03 07:00:22,7
26,304,30.638484,104.028343,1,2014-08-03 07:00:22,7
27,313,30.679927000000006,104.009543,1,2014-08-03 07:00:23,7
28,298,30.63796,104.034483,1,2014-08-03 07:00:25,7
29,300,30.663203000000006,104.110699,0,2014-08-03 07:00:25,7
30,302,30.680016,104.106053,1,2014-08-03 07:00:25,7
31,295,30.67639,104.090465,0,2014-08-03 07:00:27,7
32,296,30.64619,104.06646,1,2014-08-03 07:00:29,7
33,293,30.650473,104.174321,1,2014-08-03 07:00:30,7
34,304,30.638214,104.028462,1,2014-08-03 07:00:32,7
35,299,30.618976,104.067228,0,2014-08-03 07:00:32,7
36,313,30.679154,104.011405,1,2014-08-03 07:00:33,7
37,302,30.681074,104.105458,1,2014-08-03 07:00:35,7
38,298,30.638173,104.034864,1,2014-08-03 07:00:35,7
39,300,30.663232,104.110717,0,2014-08-03 07:00:35,7
40,295,30.676388,104.090469,0,2014-08-03 07:00:37,7
41,312,30.632385,104.004535,1,2014-08-03 07:00:38,7
42,296,30.646199,104.066445,1,2014-08-03 07:00:39,7
43,306,30.747147,104.203695,1,2014-08-03 07:00:40,7
44,304,30.636284000000003,104.030406,1,2014-08-03 07:00:42,7
45,299,30.618969,104.067231,0,2014-08-03 07:00:43,7
46,313,30.678778,104.012996,1,2014-08-03 07:00:43,7
47,314,30.668071,104.11048,0,2014-08-03 07:00:44,7
48,308,30.642971000000006,104.039043,0,2014-08-03 07:00:44,7
49,295,30.676385,104.09048,0,2014-08-03 07:00:45,7
50,310,30.624891,104.063537,0,2014-08-03 07:00:45,7
51,298,30.637759000000006,104.035405,1,2014-08-03 07:00:45,7
52,302,30.682239000000006,104.104804,1,2014-08-03 07:00:45,7
53,300,30.663245,104.110736,0,2014-08-03 07:00:46,7
54,296,30.646209,104.066442,1,2014-08-03 07:00:49,7
55,316,30.526929,104.05971,0,2014-08-03 07:00:49,7
56,294,30.700998,104.105487,0,2014-08-03 07:00:50,7
57,304,30.635186,104.031693,1,2014-08-03 07:00:52,7
58,299,30.618977,104.067219,0,2014-08-03 07:00:53,7
59,311,30.617025,104.174443,0,2014-08-03 07:00:53,7
60,313,30.678821000000006,104.013638,1,2014-08-03 07:00:53,7
61,302,30.683477000000003,104.104109,1,2014-08-03 07:00:55,7
62,298,30.636785,104.036186,1,2014-08-03 07:00:55,7
63,295,30.676398,104.090471,0,2014-08-03 07:00:55,7
